"component","origin","license","copyright"
"com.github.DataDog/whoAMI-scanner","git+https://github.com/DataDog/whoAMI-scanner","['MIT']","['Datadog, Inc.']"
"github.com/aws/aws-sdk-go-v2","https://github.com/aws/aws-sdk-go-v2","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'Stripe, Inc.', 'The Go Authors']"
"github.com/aws/aws-sdk-go-v2/config","https://github.com/aws/aws-sdk-go-v2/config","[]","[]"
"github.com/aws/aws-sdk-go-v2/credentials","https://github.com/aws/aws-sdk-go-v2/credentials","[]","[]"
"github.com/aws/aws-sdk-go-v2/feature/ec2/imds","https://github.com/aws/aws-sdk-go-v2/feature/ec2/imds","[]","[]"
"github.com/aws/aws-sdk-go-v2/internal/configsources","https://github.com/aws/aws-sdk-go-v2/internal/configsources","[]","[]"
"github.com/aws/aws-sdk-go-v2/internal/endpoints/v2","https://github.com/aws/aws-sdk-go-v2/internal/endpoints/v2","[]","[]"
"github.com/aws/aws-sdk-go-v2/internal/ini","https://github.com/aws/aws-sdk-go-v2/internal/ini","[]","[]"
"github.com/aws/aws-sdk-go-v2/service/ec2","https://github.com/aws/aws-sdk-go-v2/service/ec2","[]","[]"
"github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding","https://github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding","[]","[]"
"github.com/aws/aws-sdk-go-v2/service/internal/presigned-url","https://github.com/aws/aws-sdk-go-v2/service/internal/presigned-url","[]","[]"
"github.com/aws/aws-sdk-go-v2/service/sso","https://github.com/aws/aws-sdk-go-v2/service/sso","[]","[]"
"github.com/aws/aws-sdk-go-v2/service/ssooidc","https://github.com/aws/aws-sdk-go-v2/service/ssooidc","[]","[]"
"github.com/aws/aws-sdk-go-v2/service/sts","https://github.com/aws/aws-sdk-go-v2/service/sts","[]","[]"
"github.com/aws/smithy-go","https://github.com/aws/smithy-go","['Apache-2.0']","['Amazon.com, Inc. or its affiliates', 'The Go Authors']"
"github.com/bishopfox/knownawsaccountslookup","https://github.com/bishopfox/knownawsaccountslookup","['MIT']","['Bishop Fox']"
"github.com/fatih/color","https://github.com/fatih/color","['MIT']","['Fatih Arslan']"
"github.com/kyokomi/emoji","https://github.com/kyokomi/emoji","['MIT']","['kyokomi']"
"github.com/mattn/go-colorable","https://github.com/mattn/go-colorable","['MIT']","['Yasuhiro Matsumoto']"
"github.com/mattn/go-isatty","https://github.com/mattn/go-isatty","['MIT']","['Yasuhiro MATSUMOTO']"
"golang.org/x/sys","https://golang.org/x/sys","[]","[]"
"gopkg.in/yaml.v2","https://gopkg.in/yaml.v2","[]","[]"

